municipio_ibge,municipio,unidade_ifpb,curso_ofertado,tipo_curso,situacao_referencia,turnos_ofertados,fonte_oficial,data_referencia,observacao
2507507,Joao Pessoa,Campus Joao Pessoa,GESTAO AMBIENTAL,superior,confirmado_portal_estudante,Matutino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2507507,Joao Pessoa,Campus Joao Pessoa,MATEMATICA,superior,confirmado_portal_estudante,Vespertino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso aparece no catalogo como licenciatura
2507507,Joao Pessoa,Campus Joao Pessoa,NEGOCIOS IMOBILIARIOS,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2507507,Joao Pessoa,Campus Joao Pessoa,QUIMICA,superior,confirmado_portal_estudante,Vespertino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso aparece no catalogo como licenciatura
2507507,Joao Pessoa,Campus Joao Pessoa,REDES DE COMPUTADORES,superior,confirmado_portal_estudante,Matutino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2507507,Joao Pessoa,Campus Joao Pessoa,SISTEMAS DE TELECOMUNICACOES,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2507507,Joao Pessoa,Campus Joao Pessoa,SISTEMAS PARA INTERNET,superior,confirmado_portal_estudante,Vespertino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2509701,Monteiro,Campus Monteiro,ANALISE E DESENVOLVIMENTO DE SISTEMAS,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2509701,Monteiro,Campus Monteiro,CONSTRUCAO DE EDIFICIOS,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2509701,Monteiro,Campus Monteiro,ENGENHARIA CIVIL,superior,confirmado_portal_estudante,Noturno|Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2510808,Patos,Campus Patos,ENGENHARIA CIVIL,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2510808,Patos,Campus Patos,SEGURANCA NO TRABALHO,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2511400,Picui,Campus Picui,AGROECOLOGIA,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso herdado e confirmado no catalogo de graduacao do IFPB
2511400,Picui,Campus Picui,GESTAO AMBIENTAL,superior,confirmado_portal_estudante,Vespertino,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso herdado e confirmado no catalogo de graduacao do IFPB
2511400,Picui,Campus Picui,GEOGRAFIA,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso aparece no catalogo como Licenciatura em Geografia
2511400,Picui,Campus Picui,SISTEMAS PARA INTERNET,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2512309,Princesa Isabel,Campus Princesa Isabel,CIENCIAS BIOLOGICAS,superior,confirmado_portal_estudante,Integral|Vespertino|Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2512309,Princesa Isabel,Campus Princesa Isabel,GESTAO AMBIENTAL,superior,confirmado_portal_estudante,Integral|Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2513703,Santa Rita,Campus Santa Rita,ANALISE E DESENVOLVIMENTO DE SISTEMAS,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2516201,Sousa,Campus Sousa - Unidade Sao Goncalo,AGROECOLOGIA,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2516201,Sousa,Campus Sousa - Unidade Sao Goncalo,ALIMENTOS,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2516201,Sousa,Campus Sousa - Unidade Sao Goncalo,EDUCACAO FISICA,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2516201,Sousa,Campus Sousa - Unidade Sao Goncalo,MEDICINA VETERINARIA,superior,confirmado_portal_estudante,Integral,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso listado no catalogo de graduacao do IFPB
2516201,Sousa,Campus Sousa - Unidade Sede,QUIMICA,superior,confirmado_portal_estudante,Noturno,Portal do Estudante IFPB - Cursos de Graduacao,2026-03-25,Curso aparece no catalogo como licenciatura
